,Unnamed: 0.1,Unnamed: 0,channels,srate,safe,mode,decimate
0,0,0,L1:LSC-MCL_IN1_DQ,16384,safe,clean,64
1,1,1,L1:LSC-MCL_OUT_DQ,16384,safe,clean,64
2,2,2,L1:LSC-MICH_IN1_DQ,16384,safe,clean,64
3,3,3,L1:LSC-MICH_OUT_DQ,16384,safe,clean,64
4,4,4,L1:LSC-POPAIR_B_RF90_I_ERR_DQ,2048,safe,clean,32
5,5,5,L1:LSC-POP_A_LF_OUT_DQ,16384,safe,clean,64
6,6,6,L1:LSC-POP_A_RF45_I_ERR_DQ,2048,safe,clean,32
7,7,7,L1:LSC-POP_A_RF45_Q_ERR_DQ,2048,safe,clean,32
8,8,8,L1:LSC-POP_A_RF9_I_ERR_DQ,2048,safe,clean,32
9,9,9,L1:LSC-POP_A_RF9_Q_ERR_DQ,2048,safe,clean,32
10,10,10,L1:LSC-PRCL_IN1_DQ,16384,safe,clean,64
11,11,11,L1:LSC-PRCL_OUT_DQ,16384,safe,clean,64
12,12,12,L1:LSC-REFL_A_LF_OUT_DQ,16384,safe,clean,64
13,13,13,L1:LSC-REFL_A_RF45_I_ERR_DQ,2048,safe,clean,32
14,14,14,L1:LSC-REFL_A_RF45_Q_ERR_DQ,2048,safe,clean,32
15,15,15,L1:LSC-REFL_A_RF9_I_ERR_DQ,2048,safe,clean,32
16,16,16,L1:LSC-REFL_A_RF9_Q_ERR_DQ,2048,safe,clean,32
17,17,17,L1:LSC-REFL_SERVO_CTRL_OUT_DQ,16384,safe,clean,64
18,18,18,L1:LSC-REFL_SERVO_ERR_OUT_DQ,16384,safe,clean,64
19,19,19,L1:LSC-SRCL_IN1_DQ,16384,safe,clean,64
20,20,20,L1:LSC-SRCL_OUT_DQ,16384,safe,clean,64
21,21,21,L1:ALS-C_TRX_A_LF_OUT_DQ,2048,safe,clean,32
22,22,22,L1:ALS-C_TRY_A_LF_OUT_DQ,2048,safe,clean,32
23,23,23,L1:ASC-AS_A_DC_PIT_OUT_DQ,2048,safe,clean,32
24,24,24,L1:ASC-AS_A_DC_YAW_OUT_DQ,2048,safe,clean,32
25,25,25,L1:ASC-AS_A_RF36_I_PIT_OUT_DQ,2048,safe,clean,32
26,26,26,L1:ASC-AS_A_RF36_I_YAW_OUT_DQ,2048,safe,clean,32
27,27,27,L1:ASC-AS_A_RF36_Q_PIT_OUT_DQ,2048,safe,clean,32
28,28,28,L1:ASC-AS_A_RF36_Q_YAW_OUT_DQ,2048,safe,clean,32
29,29,29,L1:ASC-AS_B_DC_PIT_OUT_DQ,2048,safe,clean,32
30,30,30,L1:ASC-AS_B_DC_YAW_OUT_DQ,2048,safe,clean,32
31,31,31,L1:ASC-AS_B_RF36_I_PIT_OUT_DQ,2048,safe,clean,32
32,32,32,L1:ASC-AS_B_RF36_I_YAW_OUT_DQ,2048,safe,clean,32
33,33,33,L1:ASC-AS_B_RF36_Q_PIT_OUT_DQ,2048,safe,clean,32
34,34,34,L1:ASC-AS_B_RF36_Q_YAW_OUT_DQ,2048,safe,clean,32
35,35,35,L1:ASC-REFL_A_DC_PIT_OUT_DQ,2048,safe,clean,32
36,36,36,L1:ASC-REFL_A_DC_SUM_OUT_DQ,2048,safe,clean,32
37,37,37,L1:ASC-REFL_A_DC_YAW_OUT_DQ,2048,safe,clean,32
38,38,38,L1:ASC-REFL_A_RF45_I_PIT_OUT_DQ,2048,safe,clean,32
39,39,39,L1:ASC-REFL_A_RF45_I_YAW_OUT_DQ,2048,safe,clean,32
40,40,40,L1:ASC-REFL_A_RF45_Q_PIT_OUT_DQ,2048,safe,clean,32
41,41,41,L1:ASC-REFL_A_RF45_Q_YAW_OUT_DQ,2048,safe,clean,32
42,42,42,L1:ASC-REFL_A_RF9_I_PIT_OUT_DQ,2048,safe,clean,32
43,43,43,L1:ASC-REFL_A_RF9_I_YAW_OUT_DQ,2048,safe,clean,32
44,44,44,L1:ASC-REFL_A_RF9_Q_PIT_OUT_DQ,2048,safe,clean,32
45,45,45,L1:ASC-REFL_A_RF9_Q_YAW_OUT_DQ,2048,safe,clean,32
46,46,46,L1:ASC-REFL_B_DC_PIT_OUT_DQ,2048,safe,clean,32
47,47,47,L1:ASC-REFL_B_DC_SUM_OUT_DQ,2048,safe,clean,32
48,48,48,L1:ASC-REFL_B_DC_YAW_OUT_DQ,2048,safe,clean,32
49,49,49,L1:ASC-REFL_B_RF45_I_PIT_OUT_DQ,2048,safe,clean,32
50,50,50,L1:ASC-REFL_B_RF45_I_YAW_OUT_DQ,2048,safe,clean,32
51,51,51,L1:ASC-REFL_B_RF45_Q_PIT_OUT_DQ,2048,safe,clean,32
52,52,52,L1:ASC-REFL_B_RF45_Q_YAW_OUT_DQ,2048,safe,clean,32
53,53,53,L1:ASC-REFL_B_RF9_I_PIT_OUT_DQ,2048,safe,clean,32
54,54,54,L1:ASC-REFL_B_RF9_I_YAW_OUT_DQ,2048,safe,clean,32
55,55,55,L1:ASC-REFL_B_RF9_Q_PIT_OUT_DQ,2048,safe,clean,32
56,56,56,L1:ASC-REFL_B_RF9_Q_YAW_OUT_DQ,2048,safe,clean,32
57,57,57,L1:ASC-X_TR_A_NSUM_OUT_DQ,2048,safe,clean,32
58,58,58,L1:ASC-X_TR_A_PIT_OUT_DQ,2048,safe,clean,32
59,59,59,L1:ASC-X_TR_A_YAW_OUT_DQ,2048,safe,clean,32
60,60,60,L1:ASC-X_TR_B_NSUM_OUT_DQ,2048,safe,clean,32
61,61,61,L1:ASC-X_TR_B_PIT_OUT_DQ,2048,safe,clean,32
62,62,62,L1:ASC-X_TR_B_YAW_OUT_DQ,2048,safe,clean,32
63,63,63,L1:ASC-Y_TR_A_NSUM_OUT_DQ,2048,safe,clean,32
64,64,64,L1:ASC-Y_TR_A_PIT_OUT_DQ,2048,safe,clean,32
65,65,65,L1:ASC-Y_TR_A_YAW_OUT_DQ,2048,safe,clean,32
66,66,66,L1:ASC-Y_TR_B_NSUM_OUT_DQ,2048,safe,clean,32
67,67,67,L1:ASC-Y_TR_B_PIT_OUT_DQ,2048,safe,clean,32
68,68,68,L1:ASC-Y_TR_B_YAW_OUT_DQ,2048,safe,clean,32
69,69,69,L1:ASC-AS_A_RF72_I_PIT_OUT_DQ,2048,safe,clean,32
70,70,70,L1:ASC-AS_A_RF72_I_YAW_OUT_DQ,2048,safe,clean,32
71,71,71,L1:ASC-AS_A_RF72_Q_PIT_OUT_DQ,2048,safe,clean,32
72,72,72,L1:ASC-AS_A_RF72_Q_YAW_OUT_DQ,2048,safe,clean,32
73,73,73,L1:ASC-AS_B_RF72_I_PIT_OUT_DQ,2048,safe,clean,32
74,74,74,L1:ASC-AS_B_RF72_I_YAW_OUT_DQ,2048,safe,clean,32
75,75,75,L1:ASC-AS_B_RF72_Q_PIT_OUT_DQ,2048,safe,clean,32
76,76,76,L1:ASC-AS_B_RF72_Q_YAW_OUT_DQ,2048,safe,clean,32
77,77,77,L1:LSC-MOD_RF45_AM_CTRL_OUT_DQ,2048,safe,clean,32
78,78,78,L1:LSC-MOD_RF45_AM_ERR_OUT_DQ,2048,safe,clean,32
79,79,79,L1:LSC-MOD_RF9_AM_CTRL_OUT_DQ,2048,safe,clean,32
80,80,80,L1:LSC-MOD_RF9_AM_ERR_OUT_DQ,2048,safe,clean,32
81,81,81,L1:ASC-INP2_P_OUT_DQ,512,safe,clean,2
82,82,82,L1:ASC-INP2_Y_OUT_DQ,512,safe,clean,2
83,83,83,L1:ASC-MICH_P_OUT_DQ,512,safe,clean,2
84,84,84,L1:ASC-MICH_Y_OUT_DQ,512,safe,clean,2
85,85,85,L1:ASC-PRC2_P_OUT_DQ,512,safe,clean,2
86,86,86,L1:ASC-PRC2_Y_OUT_DQ,512,safe,clean,2
87,87,87,L1:ASC-SRC1_P_OUT_DQ,512,safe,clean,2
88,88,88,L1:ASC-SRC1_Y_OUT_DQ,512,safe,clean,2
89,89,89,L1:ASC-SRC2_P_OUT_DQ,512,safe,clean,2
90,90,90,L1:ASC-SRC2_Y_OUT_DQ,512,safe,clean,2
91,91,91,L1:ASC-CHARD_P_OUT_DQ,512,safe,clean,2
92,92,92,L1:ASC-CHARD_Y_OUT_DQ,512,safe,clean,2
93,93,93,L1:ASC-DHARD_P_OUT_DQ,512,safe,clean,2
94,94,94,L1:ASC-DHARD_Y_OUT_DQ,512,safe,clean,2
95,95,95,L1:ASC-DC6_P_OUT_DQ,512,safe,clean,2
96,96,96,L1:ASC-DC6_Y_OUT_DQ,512,safe,clean,2
97,97,97,L1:ASC-DC7_P_OUT_DQ,512,safe,clean,2
98,98,98,L1:ASC-DC7_Y_OUT_DQ,512,safe,clean,2
99,99,99,L1:ASC-CHARD_HAM1_P_A_OUT_DQ,256,safe,clean,1
100,100,100,L1:ASC-CHARD_P_A_OUT_DQ,256,safe,clean,1
101,101,101,L1:ASC-CHARD_P_B_OUT_DQ,256,safe,clean,1
102,102,102,L1:ASC-CHARD_Y_A_OUT_DQ,256,safe,clean,1
103,103,103,L1:ASC-CHARD_Y_B_OUT_DQ,256,safe,clean,1
104,104,104,L1:ASC-CHARD_RM_P_A_OUT_DQ,256,safe,clean,1
105,105,105,L1:ASC-DHARD_P_A_OUT_DQ,256,safe,clean,1
106,106,106,L1:ASC-DHARD_P_B_OUT_DQ,256,safe,clean,1
107,107,107,L1:ASC-DHARD_Y_A_OUT_DQ,256,safe,clean,1
108,108,108,L1:ASC-DHARD_Y_B_OUT_DQ,256,safe,clean,1
109,109,109,L1:CAL-PCALY_RX_PD_OUT_DQ,16384,safe,clean,64
110,110,110,L1:CAL-PCALY_TX_PD_OUT_DQ,16384,safe,clean,64
111,111,111,L1:HPI-HAM1_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
112,112,112,L1:HPI-HAM1_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
113,113,113,L1:HPI-HAM1_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
114,114,114,L1:HPI-HAM1_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
115,115,115,L1:HPI-HAM1_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
116,116,116,L1:HPI-HAM1_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
117,117,117,L1:HPI-HAM1_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
118,118,118,L1:HPI-HAM1_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
119,119,119,L1:HPI-HAM6_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
120,120,120,L1:HPI-HAM6_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
121,121,121,L1:HPI-HAM6_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
122,122,122,L1:HPI-HAM6_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
123,123,123,L1:HPI-HAM6_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
124,124,124,L1:HPI-HAM6_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
125,125,125,L1:HPI-HAM6_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
126,126,126,L1:HPI-HAM6_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
127,127,127,L1:HPI-HAM2_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
128,128,128,L1:HPI-HAM2_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
129,129,129,L1:HPI-HAM2_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
130,130,130,L1:HPI-HAM2_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
131,131,131,L1:HPI-HAM2_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
132,132,132,L1:HPI-HAM2_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
133,133,133,L1:HPI-HAM2_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
134,134,134,L1:HPI-HAM2_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
135,135,135,L1:HPI-HAM3_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
136,136,136,L1:HPI-HAM3_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
137,137,137,L1:HPI-HAM3_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
138,138,138,L1:HPI-HAM3_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
139,139,139,L1:HPI-HAM3_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
140,140,140,L1:HPI-HAM3_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
141,141,141,L1:HPI-HAM3_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
142,142,142,L1:HPI-HAM3_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
143,143,143,L1:HPI-HAM4_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
144,144,144,L1:HPI-HAM4_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
145,145,145,L1:HPI-HAM4_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
146,146,146,L1:HPI-HAM4_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
147,147,147,L1:HPI-HAM4_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
148,148,148,L1:HPI-HAM4_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
149,149,149,L1:HPI-HAM4_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
150,150,150,L1:HPI-HAM4_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
151,151,151,L1:HPI-HAM5_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
152,152,152,L1:HPI-HAM5_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
153,153,153,L1:HPI-HAM5_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
154,154,154,L1:HPI-HAM5_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
155,155,155,L1:HPI-HAM5_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
156,156,156,L1:HPI-HAM5_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
157,157,157,L1:HPI-HAM5_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
158,158,158,L1:HPI-HAM5_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
159,159,159,L1:HPI-BS_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
160,160,160,L1:HPI-BS_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
161,161,161,L1:HPI-BS_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
162,162,162,L1:HPI-BS_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
163,163,163,L1:HPI-BS_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
164,164,164,L1:HPI-BS_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
165,165,165,L1:HPI-BS_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
166,166,166,L1:HPI-BS_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
167,167,167,L1:HPI-ITMX_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
168,168,168,L1:HPI-ITMX_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
169,169,169,L1:HPI-ITMX_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
170,170,170,L1:HPI-ITMX_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
171,171,171,L1:HPI-ITMX_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
172,172,172,L1:HPI-ITMX_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
173,173,173,L1:HPI-ITMX_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
174,174,174,L1:HPI-ITMX_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
175,175,175,L1:HPI-ITMY_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
176,176,176,L1:HPI-ITMY_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
177,177,177,L1:HPI-ITMY_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
178,178,178,L1:HPI-ITMY_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
179,179,179,L1:HPI-ITMY_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
180,180,180,L1:HPI-ITMY_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
181,181,181,L1:HPI-ITMY_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
182,182,182,L1:HPI-ITMY_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
183,183,183,L1:HPI-ETMX_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
184,184,184,L1:HPI-ETMX_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
185,185,185,L1:HPI-ETMX_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
186,186,186,L1:HPI-ETMX_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
187,187,187,L1:HPI-ETMX_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
188,188,188,L1:HPI-ETMX_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
189,189,189,L1:HPI-ETMX_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
190,190,190,L1:HPI-ETMX_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
191,191,191,L1:HPI-ETMY_BLND_L4C_HP_IN1_DQ,1024,safe,clean,32
192,192,192,L1:HPI-ETMY_BLND_L4C_RX_IN1_DQ,1024,safe,clean,32
193,193,193,L1:HPI-ETMY_BLND_L4C_RY_IN1_DQ,1024,safe,clean,32
194,194,194,L1:HPI-ETMY_BLND_L4C_RZ_IN1_DQ,1024,safe,clean,32
195,195,195,L1:HPI-ETMY_BLND_L4C_VP_IN1_DQ,1024,safe,clean,32
196,196,196,L1:HPI-ETMY_BLND_L4C_X_IN1_DQ,1024,safe,clean,32
197,197,197,L1:HPI-ETMY_BLND_L4C_Y_IN1_DQ,1024,safe,clean,32
198,198,198,L1:HPI-ETMY_BLND_L4C_Z_IN1_DQ,1024,safe,clean,32
199,199,199,L1:IMC-DOF_1_P_IN1_DQ,2048,safe,clean,32
200,200,200,L1:IMC-DOF_1_Y_IN1_DQ,2048,safe,clean,32
201,201,201,L1:IMC-DOF_2_P_IN1_DQ,2048,safe,clean,32
202,202,202,L1:IMC-DOF_2_Y_IN1_DQ,2048,safe,clean,32
203,203,203,L1:IMC-DOF_3_P_IN1_DQ,2048,safe,clean,32
204,204,204,L1:IMC-DOF_3_Y_IN1_DQ,2048,safe,clean,32
205,205,205,L1:IMC-DOF_4_P_IN1_DQ,2048,safe,clean,32
206,206,206,L1:IMC-DOF_4_Y_IN1_DQ,2048,safe,clean,32
207,207,207,L1:IMC-F_OUT_DQ,16384,safe,clean,64
208,208,208,L1:IMC-I_OUT_DQ,16384,safe,clean,64
209,209,209,L1:IMC-L_OUT_DQ,2048,safe,clean,32
210,210,210,L1:IMC-IM4_TRANS_PIT_OUT_DQ,2048,safe,clean,32
211,211,211,L1:IMC-IM4_TRANS_SUM_OUT_DQ,2048,safe,clean,32
212,212,212,L1:IMC-IM4_TRANS_YAW_OUT_DQ,2048,safe,clean,32
213,213,213,L1:IMC-MC1_PIT_OUT_DQ,2048,safe,clean,32
214,214,214,L1:IMC-MC1_YAW_OUT_DQ,2048,safe,clean,32
215,215,215,L1:IMC-MC2_PIT_OUT_DQ,2048,safe,clean,32
216,216,216,L1:IMC-MC2_TRANS_PIT_OUT_DQ,2048,safe,clean,32
217,217,217,L1:IMC-MC2_TRANS_SUM_OUT_DQ,2048,safe,clean,32
218,218,218,L1:IMC-MC2_TRANS_YAW_OUT_DQ,2048,safe,clean,32
219,219,219,L1:IMC-MC2_YAW_OUT_DQ,2048,safe,clean,32
220,220,220,L1:IMC-MC3_PIT_OUT_DQ,2048,safe,clean,32
221,221,221,L1:IMC-MC3_YAW_OUT_DQ,2048,safe,clean,32
222,222,222,L1:IMC-PWR_IN_OUT_DQ,2048,safe,clean,32
223,223,223,L1:IMC-PZT_PIT_OUT_DQ,2048,safe,clean,32
224,224,224,L1:IMC-PZT_YAW_OUT_DQ,2048,safe,clean,32
225,225,225,L1:IMC-REFL_DC_OUT_DQ,2048,safe,clean,32
226,226,226,L1:IMC-TRANS_OUT_DQ,2048,safe,clean,32
227,227,227,L1:IMC-WFS_A_DC_PIT_OUT_DQ,2048,safe,clean,32
228,228,228,L1:IMC-WFS_A_DC_SUM_OUT_DQ,2048,safe,clean,32
229,229,229,L1:IMC-WFS_A_DC_YAW_OUT_DQ,2048,safe,clean,32
230,230,230,L1:IMC-WFS_A_I_PIT_OUT_DQ,2048,safe,clean,32
231,231,231,L1:IMC-WFS_A_I_YAW_OUT_DQ,2048,safe,clean,32
232,232,232,L1:IMC-WFS_A_Q_PIT_OUT_DQ,2048,safe,clean,32
233,233,233,L1:IMC-WFS_A_Q_YAW_OUT_DQ,2048,safe,clean,32
234,234,234,L1:IMC-WFS_B_DC_PIT_OUT_DQ,2048,safe,clean,32
235,235,235,L1:IMC-WFS_B_DC_SUM_OUT_DQ,2048,safe,clean,32
236,236,236,L1:IMC-WFS_B_DC_YAW_OUT_DQ,2048,safe,clean,32
237,237,237,L1:IMC-WFS_B_I_PIT_OUT_DQ,2048,safe,clean,32
238,238,238,L1:IMC-WFS_B_I_YAW_OUT_DQ,2048,safe,clean,32
239,239,239,L1:IMC-WFS_B_Q_PIT_OUT_DQ,2048,safe,clean,32
240,240,240,L1:IMC-WFS_B_Q_YAW_OUT_DQ,2048,safe,clean,32
241,241,241,L1:ISI-BS_ST1_BLND_RX_T240_CUR_IN1_DQ,512,safe,clean,2
242,242,242,L1:ISI-BS_ST1_BLND_RY_T240_CUR_IN1_DQ,512,safe,clean,2
243,243,243,L1:ISI-BS_ST1_BLND_RZ_T240_CUR_IN1_DQ,512,safe,clean,2
244,244,244,L1:ISI-BS_ST1_BLND_X_T240_CUR_IN1_DQ,512,safe,clean,2
245,245,245,L1:ISI-BS_ST1_BLND_Y_T240_CUR_IN1_DQ,512,safe,clean,2
246,246,246,L1:ISI-BS_ST1_BLND_Z_T240_CUR_IN1_DQ,512,safe,clean,2
247,247,247,L1:ISI-ITMX_ST1_BLND_RX_T240_CUR_IN1_DQ,512,safe,clean,2
248,248,248,L1:ISI-ITMX_ST1_BLND_RY_T240_CUR_IN1_DQ,512,safe,clean,2
249,249,249,L1:ISI-ITMX_ST1_BLND_RZ_T240_CUR_IN1_DQ,512,safe,clean,2
250,250,250,L1:ISI-ITMX_ST1_BLND_X_T240_CUR_IN1_DQ,512,safe,clean,2
251,251,251,L1:ISI-ITMX_ST1_BLND_Y_T240_CUR_IN1_DQ,512,safe,clean,2
252,252,252,L1:ISI-ITMX_ST1_BLND_Z_T240_CUR_IN1_DQ,512,safe,clean,2
253,253,253,L1:ISI-ITMY_ST1_BLND_RX_T240_CUR_IN1_DQ,512,safe,clean,2
254,254,254,L1:ISI-ITMY_ST1_BLND_RY_T240_CUR_IN1_DQ,512,safe,clean,2
255,255,255,L1:ISI-ITMY_ST1_BLND_RZ_T240_CUR_IN1_DQ,512,safe,clean,2
256,256,256,L1:ISI-ITMY_ST1_BLND_X_T240_CUR_IN1_DQ,512,safe,clean,2
257,257,257,L1:ISI-ITMY_ST1_BLND_Y_T240_CUR_IN1_DQ,512,safe,clean,2
258,258,258,L1:ISI-ITMY_ST1_BLND_Z_T240_CUR_IN1_DQ,512,safe,clean,2
259,259,259,L1:ISI-ETMX_ST1_BLND_RX_T240_CUR_IN1_DQ,512,safe,clean,2
260,260,260,L1:ISI-ETMX_ST1_BLND_RY_T240_CUR_IN1_DQ,512,safe,clean,2
261,261,261,L1:ISI-ETMX_ST1_BLND_RZ_T240_CUR_IN1_DQ,512,safe,clean,2
262,262,262,L1:ISI-ETMX_ST1_BLND_X_T240_CUR_IN1_DQ,512,safe,clean,2
263,263,263,L1:ISI-ETMX_ST1_BLND_Y_T240_CUR_IN1_DQ,512,safe,clean,2
264,264,264,L1:ISI-ETMX_ST1_BLND_Z_T240_CUR_IN1_DQ,512,safe,clean,2
265,265,265,L1:ISI-ETMY_ST1_BLND_RX_T240_CUR_IN1_DQ,512,safe,clean,2
266,266,266,L1:ISI-ETMY_ST1_BLND_RY_T240_CUR_IN1_DQ,512,safe,clean,2
