,channels,imageID,channelID,status
0,L1:LSC-MCL_IN1_DQ,0,1213,safe
1,L1:LSC-MCL_OUT_DQ,1,1214,safe
2,L1:LSC-MICH_IN1_DQ,2,1215,safe
3,L1:LSC-MICH_OUT_DQ,3,1216,safe
4,L1:LSC-POP_A_LF_OUT_DQ,4,1225,safe
5,L1:LSC-PRCL_IN1_DQ,5,1236,safe
6,L1:LSC-PRCL_OUT_DQ,6,1237,safe
7,L1:LSC-REFL_A_LF_OUT_DQ,7,1238,safe
8,L1:LSC-REFL_SERVO_CTRL_OUT_DQ,8,1243,safe
9,L1:LSC-REFL_SERVO_ERR_OUT_DQ,9,1244,safe
10,L1:LSC-SRCL_IN1_DQ,10,1256,safe
11,L1:LSC-SRCL_OUT_DQ,11,1257,safe
12,L1:LSC-POPAIR_B_RF90_I_ERR_DQ,12,1234,safe
13,L1:LSC-POP_A_RF45_I_ERR_DQ,13,1846,safe
14,L1:LSC-POP_A_RF45_Q_ERR_DQ,14,1226,safe
15,L1:LSC-POP_A_RF9_I_ERR_DQ,15,1227,safe
16,L1:LSC-POP_A_RF9_Q_ERR_DQ,16,1228,safe
17,L1:LSC-REFL_A_RF45_I_ERR_DQ,17,1239,safe
18,L1:LSC-REFL_A_RF45_Q_ERR_DQ,18,1240,safe
19,L1:LSC-REFL_A_RF9_I_ERR_DQ,19,1241,safe
20,L1:LSC-REFL_A_RF9_Q_ERR_DQ,20,1242,safe
21,L1:LSC-MOD_RF45_AM_CTRL_OUT_DQ,21,1218,safe
22,L1:LSC-MOD_RF45_AM_ERR_OUT_DQ,22,1220,safe
23,L1:LSC-MOD_RF9_AM_CTRL_OUT_DQ,23,1222,safe
24,L1:LSC-MOD_RF9_AM_ERR_OUT_DQ,24,1224,safe
25,L1:ALS-C_TRX_A_LF_OUT_DQ,25,10,safe
26,L1:ALS-C_TRY_A_LF_OUT_DQ,26,1833,safe
27,L1:ASC-AS_A_DC_PIT_OUT_DQ,27,76,safe
28,L1:ASC-AS_A_DC_YAW_OUT_DQ,28,77,safe
29,L1:ASC-AS_A_RF36_I_PIT_OUT_DQ,29,78,safe
30,L1:ASC-AS_A_RF36_I_YAW_OUT_DQ,30,79,safe
31,L1:ASC-AS_A_RF36_Q_PIT_OUT_DQ,31,80,safe
32,L1:ASC-AS_A_RF36_Q_YAW_OUT_DQ,32,81,safe
33,L1:ASC-AS_B_DC_PIT_OUT_DQ,33,88,safe
34,L1:ASC-AS_B_DC_YAW_OUT_DQ,34,89,safe
35,L1:ASC-AS_B_RF36_I_PIT_OUT_DQ,35,90,safe
36,L1:ASC-AS_B_RF36_I_YAW_OUT_DQ,36,91,safe
37,L1:ASC-AS_B_RF36_Q_PIT_OUT_DQ,37,92,safe
38,L1:ASC-AS_B_RF36_Q_YAW_OUT_DQ,38,1834,safe
39,L1:ASC-REFL_A_DC_PIT_OUT_DQ,39,115,safe
40,L1:ASC-REFL_A_DC_SUM_OUT_DQ,40,116,safe
41,L1:ASC-REFL_A_DC_YAW_OUT_DQ,41,117,safe
42,L1:ASC-REFL_A_RF45_I_PIT_OUT_DQ,42,118,safe
43,L1:ASC-REFL_A_RF45_I_YAW_OUT_DQ,43,119,safe
44,L1:ASC-REFL_A_RF45_Q_PIT_OUT_DQ,44,120,safe
45,L1:ASC-REFL_A_RF45_Q_YAW_OUT_DQ,45,121,safe
46,L1:ASC-REFL_A_RF9_I_PIT_OUT_DQ,46,122,safe
47,L1:ASC-REFL_A_RF9_I_YAW_OUT_DQ,47,123,safe
48,L1:ASC-REFL_A_RF9_Q_PIT_OUT_DQ,48,124,safe
49,L1:ASC-REFL_A_RF9_Q_YAW_OUT_DQ,49,125,safe
50,L1:ASC-REFL_B_DC_PIT_OUT_DQ,50,126,safe
51,L1:ASC-REFL_B_DC_SUM_OUT_DQ,51,127,safe
52,L1:ASC-REFL_B_DC_YAW_OUT_DQ,52,128,safe
53,L1:ASC-REFL_B_RF45_I_PIT_OUT_DQ,53,129,safe
54,L1:ASC-REFL_B_RF45_I_YAW_OUT_DQ,54,130,safe
55,L1:ASC-REFL_B_RF45_Q_PIT_OUT_DQ,55,131,safe
56,L1:ASC-REFL_B_RF45_Q_YAW_OUT_DQ,56,132,safe
57,L1:ASC-REFL_B_RF9_I_PIT_OUT_DQ,57,133,safe
58,L1:ASC-REFL_B_RF9_I_YAW_OUT_DQ,58,134,safe
59,L1:ASC-REFL_B_RF9_Q_PIT_OUT_DQ,59,135,safe
60,L1:ASC-REFL_B_RF9_Q_YAW_OUT_DQ,60,136,safe
61,L1:ASC-X_TR_A_NSUM_OUT_DQ,61,137,safe
62,L1:ASC-X_TR_A_PIT_OUT_DQ,62,138,safe
63,L1:ASC-X_TR_A_YAW_OUT_DQ,63,139,safe
64,L1:ASC-X_TR_B_NSUM_OUT_DQ,64,140,safe
65,L1:ASC-X_TR_B_PIT_OUT_DQ,65,141,safe
66,L1:ASC-X_TR_B_YAW_OUT_DQ,66,142,safe
67,L1:ASC-Y_TR_A_NSUM_OUT_DQ,67,143,safe
68,L1:ASC-Y_TR_A_PIT_OUT_DQ,68,144,safe
69,L1:ASC-Y_TR_A_YAW_OUT_DQ,69,145,safe
70,L1:ASC-Y_TR_B_NSUM_OUT_DQ,70,146,safe
71,L1:ASC-Y_TR_B_PIT_OUT_DQ,71,147,safe
72,L1:ASC-Y_TR_B_YAW_OUT_DQ,72,148,safe
73,L1:ASC-AS_A_RF72_I_PIT_OUT_DQ,73,84,safe
74,L1:ASC-AS_A_RF72_I_YAW_OUT_DQ,74,85,safe
75,L1:ASC-AS_A_RF72_Q_PIT_OUT_DQ,75,86,safe
76,L1:ASC-AS_A_RF72_Q_YAW_OUT_DQ,76,87,safe
77,L1:ASC-AS_B_RF72_I_PIT_OUT_DQ,77,95,safe
78,L1:ASC-AS_B_RF72_I_YAW_OUT_DQ,78,96,safe
79,L1:ASC-AS_B_RF72_Q_PIT_OUT_DQ,79,97,safe
80,L1:ASC-AS_B_RF72_Q_YAW_OUT_DQ,80,98,safe
81,L1:CAL-PCALY_RX_PD_OUT_DQ,81,174,safe
82,L1:CAL-PCALY_TX_PD_OUT_DQ,82,177,safe
83,L1:IMC-DOF_1_P_IN1_DQ,83,495,safe
84,L1:IMC-DOF_1_Y_IN1_DQ,84,496,safe
85,L1:IMC-DOF_2_P_IN1_DQ,85,497,safe
86,L1:IMC-DOF_2_Y_IN1_DQ,86,498,safe
87,L1:IMC-DOF_3_P_IN1_DQ,87,499,safe
88,L1:IMC-DOF_3_Y_IN1_DQ,88,500,safe
89,L1:IMC-DOF_4_P_IN1_DQ,89,501,safe
90,L1:IMC-DOF_4_Y_IN1_DQ,90,502,safe
91,L1:IMC-L_OUT_DQ,91,514,safe
92,L1:IMC-IM4_TRANS_PIT_OUT_DQ,92,1836,safe
93,L1:IMC-IM4_TRANS_SUM_OUT_DQ,93,509,safe
94,L1:IMC-IM4_TRANS_YAW_OUT_DQ,94,510,safe
95,L1:IMC-MC1_PIT_OUT_DQ,95,515,safe
96,L1:IMC-MC1_YAW_OUT_DQ,96,516,safe
97,L1:IMC-MC2_PIT_OUT_DQ,97,517,safe
98,L1:IMC-MC2_TRANS_PIT_OUT_DQ,98,518,safe
99,L1:IMC-MC2_TRANS_SUM_OUT_DQ,99,520,safe
100,L1:IMC-MC2_TRANS_YAW_OUT_DQ,100,521,safe
101,L1:IMC-MC2_YAW_OUT_DQ,101,522,safe
102,L1:IMC-MC3_PIT_OUT_DQ,102,523,safe
103,L1:IMC-MC3_YAW_OUT_DQ,103,524,safe
104,L1:IMC-PWR_IN_OUT_DQ,104,528,safe
105,L1:IMC-PZT_PIT_OUT_DQ,105,529,safe
106,L1:IMC-PZT_YAW_OUT_DQ,106,530,safe
107,L1:IMC-REFL_DC_OUT_DQ,107,532,safe
108,L1:IMC-TRANS_OUT_DQ,108,534,safe
109,L1:IMC-WFS_A_DC_PIT_OUT_DQ,109,535,safe
110,L1:IMC-WFS_A_DC_SUM_OUT_DQ,110,536,safe
111,L1:IMC-WFS_A_DC_YAW_OUT_DQ,111,537,safe
112,L1:IMC-WFS_A_I_PIT_OUT_DQ,112,538,safe
113,L1:IMC-WFS_A_I_YAW_OUT_DQ,113,539,safe
114,L1:IMC-WFS_A_Q_PIT_OUT_DQ,114,544,safe
115,L1:IMC-WFS_A_Q_YAW_OUT_DQ,115,545,safe
116,L1:IMC-WFS_B_DC_PIT_OUT_DQ,116,550,safe
117,L1:IMC-WFS_B_DC_SUM_OUT_DQ,117,551,safe
118,L1:IMC-WFS_B_DC_YAW_OUT_DQ,118,552,safe
119,L1:IMC-WFS_B_I_PIT_OUT_DQ,119,553,safe
120,L1:IMC-WFS_B_I_YAW_OUT_DQ,120,554,safe
121,L1:IMC-WFS_B_Q_PIT_OUT_DQ,121,559,safe
122,L1:IMC-WFS_B_Q_YAW_OUT_DQ,122,560,safe
123,L1:IMC-F_OUT_DQ,123,505,safe
124,L1:IMC-I_OUT_DQ,124,507,safe
125,L1:ISI-BS_ST2_BLND_RX_GS13_CUR_IN1_DQ,125,610,safe
126,L1:ISI-BS_ST2_BLND_RY_GS13_CUR_IN1_DQ,126,611,safe
127,L1:ISI-BS_ST2_BLND_RZ_GS13_CUR_IN1_DQ,127,612,safe
128,L1:ISI-BS_ST2_BLND_X_GS13_CUR_IN1_DQ,128,613,safe
129,L1:ISI-BS_ST2_BLND_Y_GS13_CUR_IN1_DQ,129,614,safe
130,L1:ISI-BS_ST2_BLND_Z_GS13_CUR_IN1_DQ,130,615,safe
131,L1:ISI-ETMX_ST2_BLND_RX_GS13_CUR_IN1_DQ,131,685,safe
132,L1:ISI-ETMX_ST2_BLND_RY_GS13_CUR_IN1_DQ,132,686,safe
133,L1:ISI-ETMX_ST2_BLND_RZ_GS13_CUR_IN1_DQ,133,687,safe
134,L1:ISI-ETMX_ST2_BLND_X_GS13_CUR_IN1_DQ,134,688,safe
135,L1:ISI-ETMX_ST2_BLND_Y_GS13_CUR_IN1_DQ,135,689,safe
136,L1:ISI-ETMX_ST2_BLND_Z_GS13_CUR_IN1_DQ,136,690,safe
137,L1:ISI-ETMY_ST2_BLND_RX_GS13_CUR_IN1_DQ,137,757,safe
138,L1:ISI-ETMY_ST2_BLND_RY_GS13_CUR_IN1_DQ,138,758,safe
139,L1:ISI-ETMY_ST2_BLND_RZ_GS13_CUR_IN1_DQ,139,759,safe
140,L1:ISI-ETMY_ST2_BLND_X_GS13_CUR_IN1_DQ,140,760,safe
141,L1:ISI-ETMY_ST2_BLND_Y_GS13_CUR_IN1_DQ,141,761,safe
142,L1:ISI-ETMY_ST2_BLND_Z_GS13_CUR_IN1_DQ,142,762,safe
143,L1:ISI-HAM2_BLND_GS13RX_IN1_DQ,143,791,safe
144,L1:ISI-HAM2_BLND_GS13RY_IN1_DQ,144,792,safe
145,L1:ISI-HAM2_BLND_GS13RZ_IN1_DQ,145,793,safe
146,L1:ISI-HAM2_BLND_GS13X_IN1_DQ,146,794,safe
147,L1:ISI-HAM2_BLND_GS13Y_IN1_DQ,147,795,safe
148,L1:ISI-HAM2_BLND_GS13Z_IN1_DQ,148,796,safe
149,L1:ISI-HAM3_BLND_GS13RX_IN1_DQ,149,870,safe
150,L1:ISI-HAM3_BLND_GS13RY_IN1_DQ,150,871,safe
151,L1:ISI-HAM3_BLND_GS13RZ_IN1_DQ,151,872,safe
152,L1:ISI-HAM3_BLND_GS13X_IN1_DQ,152,873,safe
153,L1:ISI-HAM3_BLND_GS13Y_IN1_DQ,153,874,safe
154,L1:ISI-HAM3_BLND_GS13Z_IN1_DQ,154,875,safe
155,L1:ISI-HAM4_BLND_GS13RX_IN1_DQ,155,914,safe
156,L1:ISI-HAM4_BLND_GS13RY_IN1_DQ,156,915,safe
157,L1:ISI-HAM4_BLND_GS13RZ_IN1_DQ,157,916,safe
158,L1:ISI-HAM4_BLND_GS13X_IN1_DQ,158,917,safe
159,L1:ISI-HAM4_BLND_GS13Y_IN1_DQ,159,918,safe
160,L1:ISI-HAM4_BLND_GS13Z_IN1_DQ,160,919,safe
161,L1:ISI-HAM5_BLND_GS13RX_IN1_DQ,161,961,safe
162,L1:ISI-HAM5_BLND_GS13RY_IN1_DQ,162,962,safe
163,L1:ISI-HAM5_BLND_GS13RZ_IN1_DQ,163,963,safe
164,L1:ISI-HAM5_BLND_GS13X_IN1_DQ,164,964,safe
165,L1:ISI-HAM5_BLND_GS13Y_IN1_DQ,165,965,safe
166,L1:ISI-HAM5_BLND_GS13Z_IN1_DQ,166,966,safe
167,L1:ISI-HAM6_BLND_GS13RX_IN1_DQ,167,1011,safe
168,L1:ISI-HAM6_BLND_GS13RY_IN1_DQ,168,1012,safe
169,L1:ISI-HAM6_BLND_GS13RZ_IN1_DQ,169,1013,safe
170,L1:ISI-HAM6_BLND_GS13X_IN1_DQ,170,1014,safe
171,L1:ISI-HAM6_BLND_GS13Y_IN1_DQ,171,1015,safe
172,L1:ISI-HAM6_BLND_GS13Z_IN1_DQ,172,1016,safe
173,L1:ISI-ITMX_ST2_BLND_RX_GS13_CUR_IN1_DQ,173,1105,safe
174,L1:ISI-ITMX_ST2_BLND_RY_GS13_CUR_IN1_DQ,174,1106,safe
175,L1:ISI-ITMX_ST2_BLND_RZ_GS13_CUR_IN1_DQ,175,1107,safe
176,L1:ISI-ITMX_ST2_BLND_X_GS13_CUR_IN1_DQ,176,1108,safe
177,L1:ISI-ITMX_ST2_BLND_Y_GS13_CUR_IN1_DQ,177,1109,safe
178,L1:ISI-ITMX_ST2_BLND_Z_GS13_CUR_IN1_DQ,178,1110,safe
179,L1:ISI-ITMY_ST2_BLND_RX_GS13_CUR_IN1_DQ,179,1177,safe
180,L1:ISI-ITMY_ST2_BLND_RY_GS13_CUR_IN1_DQ,180,1178,safe
181,L1:ISI-ITMY_ST2_BLND_RZ_GS13_CUR_IN1_DQ,181,1179,safe
182,L1:ISI-ITMY_ST2_BLND_X_GS13_CUR_IN1_DQ,182,1180,safe
183,L1:ISI-ITMY_ST2_BLND_Y_GS13_CUR_IN1_DQ,183,1181,safe
184,L1:ISI-ITMY_ST2_BLND_Z_GS13_CUR_IN1_DQ,184,1182,safe
185,L1:OMC-LSC_DITHER_OUT_DQ,185,1904,unsafe
186,L1:OMC-PZT1_MON_AC_OUT_DQ,186,1276,safe
187,L1:OMC-PZT2_MON_AC_OUT_DQ,187,1277,safe
188,L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X_DQ,188,1280,safe
189,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X_DQ,189,1282,safe
190,L1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y_DQ,190,1279,safe
191,L1:PEM-CS_ACC_BEAMTUBE_XMAN_Y_DQ,191,1281,safe
192,L1:PEM-CS_ACC_BSC2_BS_Y_DQ,192,1285,safe
193,L1:PEM-CS_ACC_EBAY_FLOOR_Z_DQ,193,1288,safe
194,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_X_DQ,194,1298,safe
195,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y_DQ,195,1299,safe
196,L1:PEM-CS_ACC_HAM6VAC_SEPTUM_Z_DQ,196,1300,safe
197,L1:PEM-CS_ACC_ISCT1_REFL_Y_DQ,197,1305,safe
198,L1:PEM-CS_ACC_LVEAFLOOR_BS_Z_DQ,198,1306,safe
199,L1:PEM-CS_ACC_LVEAFLOOR_XCRYO_Z_DQ,199,1311,safe
200,L1:PEM-CS_ACC_LVEAFLOOR_YCRYO_Z_DQ,200,1312,safe
201,L1:PEM-CS_ACC_OPLEV_ITMX_Y_DQ,201,1313,safe
202,L1:PEM-CS_ACC_OPLEV_ITMY_X_DQ,202,1314,safe
203,L1:PEM-CS_ACC_PSL_TABLE1_X_DQ,203,1317,safe
204,L1:PEM-CS_ACC_PSL_TABLE1_Y_DQ,204,1318,safe
205,L1:PEM-CS_ACC_PSL_TABLE1_Z_DQ,205,1319,safe
206,L1:PEM-CS_ACC_PSL_TABLE2_Z_DQ,206,1320,safe
207,L1:PEM-MX_ACC_BEAMTUBE_1900X_X_DQ,207,1436,safe
208,L1:PEM-MX_ACC_BEAMTUBE_2100X_X_DQ,208,1437,safe
209,L1:PEM-MX_ACC_BEAMTUBE_VEA_X_DQ,209,1438,safe
210,L1:PEM-MX_ACC_BEAMTUBE_VEA_Z_DQ,210,1439,safe
211,L1:PEM-MY_ACC_BEAMTUBE_1900Y_Y_DQ,211,1441,safe
212,L1:PEM-MY_ACC_BEAMTUBE_2100Y_Y_DQ,212,1442,safe
213,L1:PEM-MY_ACC_BEAMTUBE_VEA_Y_DQ,213,1443,safe
214,L1:PEM-MY_ACC_BEAMTUBE_VEA_Z_DQ,214,1444,safe
215,L1:PEM-EX_ACC_BEAMTUBE_MAN_X_DQ,215,1370,safe
216,L1:PEM-EX_ACC_BEAMTUBE_MAN_Z_DQ,216,1371,safe
217,L1:PEM-EX_ACC_BSC4_ETMX_X_DQ,217,1372,safe
218,L1:PEM-EX_ACC_BSC4_ETMX_Z_DQ,218,1374,safe
219,L1:PEM-EX_ACC_EBAY_FLOOR_Z_DQ,219,1375,safe
220,L1:PEM-EX_ACC_OPLEV_ETMX_Y_DQ,220,1377,safe
221,L1:PEM-EX_ACC_VEA_FLOOR_Z_DQ,221,1378,safe
222,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y_DQ,222,1403,safe
223,L1:PEM-EY_ACC_BEAMTUBE_MAN_Z_DQ,223,1404,safe
224,L1:PEM-EY_ACC_BSC5_ETMY_Y_DQ,224,1406,safe
225,L1:PEM-EY_ACC_BSC5_ETMY_Z_DQ,225,1407,safe
226,L1:PEM-EY_ACC_EBAY_FLOOR_Z_DQ,226,1408,safe
227,L1:PEM-EY_ACC_OPLEV_ETMY_X_DQ,227,1410,safe
228,L1:PEM-EY_ACC_VEA_FLOOR_Z_DQ,228,1411,safe
229,L1:PEM-CS_ACC_LVEAFLOOR_HAM1_X_DQ,229,1307,safe
230,L1:PEM-CS_ACC_LVEAFLOOR_HAM1_Y_DQ,230,1308,safe
231,L1:PEM-CS_ACC_LVEAFLOOR_HAM1_Z_DQ,231,1309,safe
232,L1:PEM-CS_ACC_HVAC_FLOOR_Z_DQ,232,1301,safe
233,L1:PEM-EX_ACC_HVAC_FLOOR_Z_DQ,233,1376,safe
234,L1:PEM-EY_ACC_HVAC_FLOOR_Z_DQ,234,1409,safe
235,L1:PEM-CS_MAG_EBAY_SUSRACK_QUAD_SUM_DQ,235,1335,safe
236,L1:PEM-EY_MAG_VEA_FLOOR_QUAD_SUM_DQ,236,1421,safe
237,L1:PEM-EY_VAULT_MAG_COIL_Z_DQ,237,1431,safe
238,L1:PEM-EY_VAULT_MAG_LEMI_X_DQ,238,1432,safe
239,L1:PEM-EY_VAULT_MAG_LEMI_Y_DQ,239,1433,safe
240,L1:PEM-CS_ACC_BSC1_ITMY_X_DQ,240,1283,safe
241,L1:PEM-CS_ACC_BSC1_ITMY_Y_DQ,241,1284,safe
242,L1:PEM-CS_ACC_BSC3_ITMX_X_DQ,242,1286,safe
243,L1:PEM-CS_ACC_BSC3_ITMX_Y_DQ,243,1287,safe
244,L1:PEM-CS_ACC_HAM2_PRM_Y_DQ,244,1289,safe
245,L1:PEM-CS_ACC_HAM2_PRM_Z_DQ,245,1290,safe
246,L1:PEM-CS_ACC_HAM3_PR2_Y_DQ,246,1291,safe
247,L1:PEM-CS_ACC_HAM4_SR2_X_DQ,247,1292,safe
248,L1:PEM-CS_ACC_HAM5_SRM_X_DQ,248,1293,safe
249,L1:PEM-CS_ACC_HAM6_OMC_X_DQ,249,1295,safe
250,L1:PEM-CS_ACC_HAM6_OMC_Z_DQ,250,1297,safe
251,L1:PEM-CS_ACC_PSL_PERISCOPE_X_DQ,251,1315,safe
252,L1:PEM-EX_ACC_BSC4_ETMX_Y_DQ,252,1373,safe
253,L1:PEM-EY_ACC_BSC5_ETMY_X_DQ,253,1405,safe
254,L1:PEM-CS_MAG_EBAY_SUSRACK_X_DQ,254,1336,safe
255,L1:PEM-CS_MAG_EBAY_SUSRACK_Y_DQ,255,1337,safe
256,L1:PEM-CS_MAG_EBAY_SUSRACK_Z_DQ,256,1338,safe
257,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_X_DQ,257,1344,safe
258,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_Y_DQ,258,1345,safe
259,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_Z_DQ,259,1346,safe
260,L1:PEM-CS_MAG_LVEA_VERTEX_X_DQ,260,1348,safe
261,L1:PEM-CS_MAG_LVEA_VERTEX_Y_DQ,261,1349,safe
262,L1:PEM-CS_MAG_LVEA_VERTEX_Z_DQ,262,1350,safe
263,L1:PEM-EX_MAG_EBAY_SUSRACK_X_DQ,263,1388,safe
264,L1:PEM-EX_MAG_EBAY_SUSRACK_Y_DQ,264,1389,safe
265,L1:PEM-EX_MAG_EBAY_SUSRACK_Z_DQ,265,1390,safe
266,L1:PEM-EX_MAG_VEA_FLOOR_X_DQ,266,1392,safe
267,L1:PEM-EX_MAG_VEA_FLOOR_Y_DQ,267,1393,safe
268,L1:PEM-EX_MAG_VEA_FLOOR_Z_DQ,268,1394,safe
269,L1:PEM-EY_MAG_VEA_FLOOR_X_DQ,269,1422,safe
270,L1:PEM-EY_MAG_VEA_FLOOR_Y_DQ,270,1423,safe
271,L1:PEM-EY_MAG_VEA_FLOOR_Z_DQ,271,1424,safe
272,L1:PEM-CS_VMON_ITMX_ESDPOWER18_DQ,272,1367,safe
273,L1:PEM-CS_VMON_ITMY_ESDPOWER18_DQ,273,1368,safe
274,L1:PEM-EX_VMON_ETMX_ESDPOWER24_DQ,274,1401,safe
275,L1:PEM-EY_VMON_ETMY_ESDPOWER18_DQ,275,1434,safe
276,L1:PEM-EY_VMON_ETMY_ESDPOWER24_DQ,276,1435,safe
277,L1:PEM-CS_MIC_EBAY_RACKS_DQ,277,1354,safe
278,L1:PEM-CS_MIC_LVEA_BS_DQ,278,1355,safe
279,L1:PEM-CS_MIC_LVEA_INPUTOPTICS_DQ,279,1356,safe
280,L1:PEM-CS_MIC_LVEA_OUTPUTOPTICS_DQ,280,1357,safe
281,L1:PEM-CS_MIC_LVEA_YMANSPOOL_DQ,281,1359,safe
282,L1:PEM-CS_MIC_PSL_CENTER_DQ,282,1360,safe
283,L1:PEM-MX_MIC_VEA_MIDX_DQ,283,1440,safe
284,L1:PEM-EX_MIC_EBAY_RACKS_DQ,284,1399,safe
285,L1:PEM-EX_MIC_VEA_PLUSX_DQ,285,1400,safe
286,L1:PEM-MY_MIC_VEA_MIDY_DQ,286,1445,safe
287,L1:PEM-EY_MIC_EBAY_RACKS_DQ,287,1429,safe
288,L1:PEM-EY_MIC_VEA_PLUSY_DQ,288,1430,safe
289,L1:PEM-CS_RADIO_EBAY_NARROWBAND_1_DQ,289,1361,safe
290,L1:PEM-CS_RADIO_EBAY_NARROWBAND_2_DQ,290,1362,safe
291,L1:PEM-CS_RADIO_LVEA_NARROWBAND_1_DQ,291,1363,safe
292,L1:PEM-CS_RADIO_LVEA_NARROWBAND_2_DQ,292,1364,safe
293,L1:PEM-CS_RADIO_ROOF2_BROADBAND_DQ,293,1366,safe
294,L1:PSL-FSS_FAST_MON_OUT_DQ,294,1450,safe
295,L1:PSL-FSS_MIXER_OUT_DQ,295,1451,safe
296,L1:PSL-ISS_AOM_DRIVER_MON_OUT_DQ,296,1456,safe
297,L1:PSL-ISS_PDA_REL_OUT_DQ,297,1457,safe
298,L1:PSL-ISS_PDB_REL_OUT_DQ,298,1458,safe
299,L1:PSL-ISS_SECONDLOOP_SUM14_REL_OUT_DQ,299,1464,safe
300,L1:PSL-ISS_SECONDLOOP_SUM58_REL_OUT_DQ,300,1465,safe
301,L1:PSL-PMC_HV_MON_OUT_DQ,301,1469,safe
302,L1:PSL-PMC_MIXER_OUT_DQ,302,1470,safe
303,L1:TCS-ITMX_CO2_ISS_IN_AC_OUT_DQ,303,1822,safe
304,L1:TCS-ITMX_CO2_ISS_OUT_AC_OUT_DQ,304,1823,safe
305,L1:TCS-ITMY_CO2_ISS_IN_AC_OUT_DQ,305,1828,safe
306,L1:TCS-ITMY_CO2_ISS_OUT_AC_OUT_DQ,306,1829,safe
307,L1:SQZ-CLF_REFL_LF_OUT_DQ,307,1473,safe
308,L1:SQZ-CLF_REFL_RF6_Q_NORM_DQ,308,1850,safe
309,L1:SQZ-CLF_SERVO_SLOW_OUT_DQ,309,1477,safe
310,L1:SQZ-FIBR_EOMRMS_OUT_DQ,310,1478,safe
311,L1:SQZ-FIBR_PD_LF_OUT_DQ,311,1480,safe
312,L1:SQZ-FIBR_SLOW_OUT_DQ,312,1482,safe
313,L1:SQZ-FIBR_TRANS_LF_OUT_DQ,313,1483,safe
314,L1:SQZ-HD_A_DC_OUT_DQ,314,1484,safe
315,L1:SQZ-HD_B_DC_OUT_DQ,315,1485,safe
316,L1:SQZ-HD_DIFF_RF3_Q_NORM_DQ,316,1488,safe
317,L1:SQZ-LASER_IR_LF_OUT_DQ,317,1489,safe
318,L1:SQZ-LO_SERVO_SLOW_OUT_DQ,318,1492,safe
319,L1:SQZ-OMC_TRANS_RF3_Q_NORM_DQ,319,1494,safe
320,L1:SQZ-OPO_IR_LF_OUT_DQ,320,1495,safe
321,L1:SQZ-OPO_REFL_LF_OUT_DQ,321,1496,safe
322,L1:SQZ-OPO_REFL_REJECTED_LF_OUT_DQ,322,1497,safe
323,L1:SQZ-OPO_REFL_RF80_Q_NORM_DQ,323,1499,safe
324,L1:SQZ-OPO_SERVO_SLOW_OUT_DQ,324,1502,safe
325,L1:SQZ-OPO_TRANS_LF_OUT_DQ,325,1503,safe
326,L1:SQZ-SHG_SERVO_SLOW_OUT_DQ,326,1855,safe
327,L1:SQZ-SHG_TRANS_LF_OUT_DQ,327,1507,safe
328,L1:SQZ-SHG_TRANS_RF35_Q_NORM_DQ,328,1509,safe
329,L1:SQZ-SHUTTER_H_TRIGGER_OUT_DQ,329,1510,safe
330,L1:SQZ-SPARE_B_LF_OUT_DQ,330,1511,safe
331,L1:SQZ-CLF_REFL_RF6_I_NORM_DQ,331,1474,safe
332,L1:SQZ-CLF_SERVO_CTRL_OUT_DQ,332,1475,safe
333,L1:SQZ-CLF_SERVO_ERR_OUT_DQ,333,1476,safe
334,L1:SQZ-FIBR_MIXER_OUT_DQ,334,1479,safe
335,L1:SQZ-FIBR_PZT_OUT_DQ,335,1481,safe
336,L1:SQZ-HD_DIFF_DC_OUT_DQ,336,1486,safe
337,L1:SQZ-HD_DIFF_RF3_I_NORM_DQ,337,1487,safe
338,L1:SQZ-LO_SERVO_CTRL_OUT_DQ,338,1490,safe
339,L1:SQZ-LO_SERVO_ERR_OUT_DQ,339,1491,safe
340,L1:SQZ-LO_SERVO_EXC_OUT_DQ,340,1852,safe
341,L1:SQZ-OMC_TRANS_RF3_I_NORM_DQ,341,1493,safe
342,L1:SQZ-OPO_REFL_RF80_I_NORM_DQ,342,1498,safe
343,L1:SQZ-OPO_SERVO_CTRL_OUT_DQ,343,1500,safe
344,L1:SQZ-OPO_SERVO_ERR_OUT_DQ,344,1501,safe
345,L1:SQZ-OPO_SERVO_EXC_OUT_DQ,345,1853,safe
346,L1:SQZ-SHG_GR_LF_OUT_DQ,346,1504,safe
